分类,文章标题,文章摘要,要点序号,具体要点内容,来源链接
核心内容,学习词典,“学习词典”是系统梳理和阐释党的创新理论、党章党规、党史知识等核心概念与要点的权威学习工具。,1,“两个确立”,https://www.12371.cn/special/cidian/cxll/
核心内容,学习词典,“学习词典”是系统梳理和阐释党的创新理论、党章党规、党史知识等核心概念与要点的权威学习工具。,2,“四个意识”,https://www.12371.cn/special/cidian/cxll/
核心内容,学习词典,“学习词典”是系统梳理和阐释党的创新理论、党章党规、党史知识等核心概念与要点的权威学习工具。,3,“两个维护”,https://www.12371.cn/special/cidian/cxll/
核心内容,学习词典,“学习词典”是系统梳理和阐释党的创新理论、党章党规、党史知识等核心概念与要点的权威学习工具。,4,“四个伟大”,https://www.12371.cn/special/cidian/cxll/
核心内容,学习词典,“学习词典”是系统梳理和阐释党的创新理论、党章党规、党史知识等核心概念与要点的权威学习工具。,5,“四个自信”,https://www.12371.cn/special/cidian/cxll/
核心内容,“十个明确”,“十个明确”是习近平新时代中国特色社会主义思想的核心内容，系统阐述了新时代坚持和发展中国特色社会主义的总目标、总任务、总体布局、战略布局和发展方向等根本问题。,1,明确中国特色社会主义最本质的特征是中国共产党领导，中国特色社会主义制度的最大优势是中国共产党领导，中国共产党是最高政治领导力量，全党必须增强“四个意识”、坚定“四个自信”、做到“两个维护”,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十个明确”,“十个明确”是习近平新时代中国特色社会主义思想的核心内容，系统阐述了新时代坚持和发展中国特色社会主义的总目标、总任务、总体布局、战略布局和发展方向等根本问题。,2,明确坚持和发展中国特色社会主义，总任务是实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分两步走在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国，以中国式现代化推进中华民族伟大复兴,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十个明确”,“十个明确”是习近平新时代中国特色社会主义思想的核心内容，系统阐述了新时代坚持和发展中国特色社会主义的总目标、总任务、总体布局、战略布局和发展方向等根本问题。,3,明确新时代我国社会主要矛盾是人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾，必须坚持以人民为中心的发展思想，发展全过程人民民主，推动人的全面发展、全体人民共同富裕取得更为明显的实质性进展,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十个明确”,“十个明确”是习近平新时代中国特色社会主义思想的核心内容，系统阐述了新时代坚持和发展中国特色社会主义的总目标、总任务、总体布局、战略布局和发展方向等根本问题。,4,明确中国特色社会主义事业总体布局是经济建设、政治建设、文化建设、社会建设、生态文明建设五位一体，战略布局是全面建设社会主义现代化国家、全面深化改革、全面依法治国、全面从严治党四个全面,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十个明确”,“十个明确”是习近平新时代中国特色社会主义思想的核心内容，系统阐述了新时代坚持和发展中国特色社会主义的总目标、总任务、总体布局、战略布局和发展方向等根本问题。,5,明确全面深化改革总目标是完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十个明确”,“十个明确”是习近平新时代中国特色社会主义思想的核心内容，系统阐述了新时代坚持和发展中国特色社会主义的总目标、总任务、总体布局、战略布局和发展方向等根本问题。,6,明确全面推进依法治国总目标是建设中国特色社会主义法治体系、建设社会主义法治国家,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十个明确”,“十个明确”是习近平新时代中国特色社会主义思想的核心内容，系统阐述了新时代坚持和发展中国特色社会主义的总目标、总任务、总体布局、战略布局和发展方向等根本问题。,7,明确必须坚持和完善社会主义基本经济制度，使市场在资源配置中起决定性作用，更好发挥政府作用，把握新发展阶段，贯彻创新、协调、绿色、开放、共享的新发展理念，加快构建以国内大循环为主体、国内国际双循环相互促进的新发展格局，推动高质量发展，统筹发展和安全,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十个明确”,“十个明确”是习近平新时代中国特色社会主义思想的核心内容，系统阐述了新时代坚持和发展中国特色社会主义的总目标、总任务、总体布局、战略布局和发展方向等根本问题。,8,明确党在新时代的强军目标是建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为世界一流军队,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十个明确”,“十个明确”是习近平新时代中国特色社会主义思想的核心内容，系统阐述了新时代坚持和发展中国特色社会主义的总目标、总任务、总体布局、战略布局和发展方向等根本问题。,9,明确中国特色大国外交要服务民族复兴、促进人类进步，推动建设新型国际关系，推动构建人类命运共同体,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十个明确”,“十个明确”是习近平新时代中国特色社会主义思想的核心内容，系统阐述了新时代坚持和发展中国特色社会主义的总目标、总任务、总体布局、战略布局和发展方向等根本问题。,10,明确全面从严治党的战略方针，提出新时代党的建设总要求，全面推进党的政治建设、思想建设、组织建设、作风建设、纪律建设，把制度建设贯穿其中，深入推进反腐败斗争，落实管党治党政治责任，以伟大自我革命引领伟大社会革命,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,1,坚持党对一切工作的领导,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,2,坚持以人民为中心,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,3,坚持全面深化改革,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,4,坚持新发展理念,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,5,坚持人民当家作主,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,6,坚持全面依法治国,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,7,坚持社会主义核心价值体系,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,8,坚持在发展中保障和改善民生,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,9,坚持人与自然和谐共生,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,10,坚持总体国家安全观,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,11,坚持党对人民军队的绝对领导,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,12,坚持“一国两制”和推进祖国统一,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,13,坚持推动构建人类命运共同体,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十四个坚持”,“十四个坚持”是习近平新时代中国特色社会主义思想的基本方略，涵盖坚持党对一切工作的领导、坚持以人民为中心、坚持全面深化改革、坚持新发展理念、坚持人民当家作主、坚持全面依法治国、坚持社会主义核心价值体系、坚持在发展中保障和改善民生、坚持人与自然和谐共生、坚持总体国家安全观、坚持党对人民军队的绝对领导、坚持“一国两制”和推进祖国统一、坚持推动构建人类命运共同体、坚持全面从严治党等十四个方面。,14,坚持全面从严治党,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,1,在坚持党的全面领导上党中央权威和集中统一领导得到有力保证，党的领导制度体系不断完善，党的领导方式更加科学，全党思想上更加统一、政治上更加团结、行动上更加一致，党的政治领导力、思想引领力、群众组织力、社会号召力显著增强。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,2,在全面从严治党上经过坚决斗争，全面从严治党的政治引领和政治保障作用充分发挥，党的自我净化、自我完善、自我革新、自我提高能力显著增强，管党治党宽松软状况得到根本扭转，反腐败斗争取得压倒性胜利并全面巩固，消除了党、国家、军队内部存在的严重隐患，党在革命性锻造中更加坚强。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,3,在经济建设上我国经济发展平衡性、协调性、可持续性明显增强，国内生产总值突破百万亿元大关，人均国内生产总值超过一万美元，国家经济实力、科技实力、综合国力跃上新台阶，我国经济迈上更高质量、更有效率、更加公平、更可持续、更为安全的发展之路。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,4,在全面深化改革开放上党不断推动全面深化改革向广度和深度进军，中国特色社会主义制度更加成熟更加定型，国家治理体系和治理能力现代化水平不断提高，党和国家事业焕发出新的生机活力。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,5,在政治建设上我国社会主义民主政治制度化、规范化、程序化全面推进，中国特色社会主义政治制度优越性得到更好发挥，生动活泼、安定团结的政治局面得到巩固和发展。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,6,在全面依法治国上中国特色社会主义法治体系不断健全，法治中国建设迈出坚实步伐，法治固根本、稳预期、利长远的保障作用进一步发挥，党运用法治方式领导和治理国家的能力显著增强。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,7,在文化建设上我国意识形态领域形势发生全局性、根本性转变，全党全国各族人民文化自信明显增强，全社会凝聚力和向心力极大提升，为新时代开创党和国家事业新局面提供了坚强思想保证和强大精神力量。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,8,在社会建设上我国社会建设全面加强，人民生活全方位改善，社会治理社会化、法治化、智能化、专业化水平大幅度提升，发展了人民安居乐业、社会安定有序的良好局面，续写了社会长期稳定奇迹。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,9,在生态文明建设上党中央以前所未有的力度抓生态文明建设，全党全国推动绿色发展的自觉性和主动性显著增强，美丽中国建设迈出重大步伐，我国生态环境保护发生历史性、转折性、全局性变化。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,10,在国防和军队建设上在党的坚强领导下，人民军队实现整体性革命性重塑、重整行装再出发，国防实力和经济实力同步提升，一体化国家战略体系和能力加快构建，建立健全退役军人管理保障体制，国防动员更加高效，军政军民团结更加巩固。人民军队坚决履行新时代使命任务，以顽强斗争精神和实际行动捍卫了国家主权、安全、发展利益。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,11,在维护国家安全上国家安全得到全面加强，经受住了来自政治、经济、意识形态、自然界等方面的风险挑战考验，为党和国家兴旺发达、长治久安提供了有力保证。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,12,在坚持“一国两制”和推进祖国统一上实践证明，有中国共产党的坚强领导，有伟大祖国的坚强支撑，有全国各族人民包括香港特别行政区同胞、澳门特别行政区同胞和台湾同胞的同心协力，香港、澳门长期繁荣稳定一定能够保持，祖国完全统一进程不可阻挡。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“十三个方面成就”,“十三个方面成就”是习近平新时代中国特色社会主义思想在实践层面取得的重大成果，涵盖了党的十八大以来在党的领导、全面从严治党、经济建设、改革开放、政治建设、依法治国、文化建设、社会建设、生态文明建设、国防军队建设、国家安全、一国两制、外交工作等十三个领域的显著成就。,13,在外交工作上中国特色大国外交全面推进，构建人类命运共同体成为引领时代潮流和人类前进方向的鲜明旗帜，我国国际影响力、感召力、塑造力显著提升。,https://www.12371.cn/2023/11/28/STUD1701138144512885.shtml
核心内容,“两个确立”,“两个确立”是指确立习近平同志党中央的核心、全党的核心地位，以及确立习近平新时代中国特色社会主义思想的指导地位。,1,确立习近平同志党中央的核心、全党的核心地位,https://www.12371.cn/2023/11/28/STUD1701138144683913.shtml
核心内容,“两个确立”,“两个确立”是指确立习近平同志党中央的核心、全党的核心地位，以及确立习近平新时代中国特色社会主义思想的指导地位。,2,确立习近平新时代中国特色社会主义思想的指导地位,https://www.12371.cn/2023/11/28/STUD1701138144683913.shtml
